"commit"	"date"	"subject"	"classification"	"assessment"	"files"
"dc7f1addc258505d218059f1d6f54ccd6354744f"	"2026-08-18"	"fix(ci): run checkout on Node 24"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	".github/workflows/ci.yml"
"d25c1f80d7e452ea66565a2aea95b82dbb6d92cd"	"2026-08-19"	"docs: consolidate overhaul handover history"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"CLAUDE.md, CMakeLists.txt, docs/architecture.md, docs/cuMES-code-review-2026-08-16.md, docs/cuda-overhaul-blueprint.md, docs/overhaul-completion-plan.md, docs/overhaul-history.md, docs/performance.md, docs/phase-0-handover.md, docs/phase-1-handover.md, docs/phase-10-handover.md, docs/phase-11-closeout-handover.md, docs/phase-11-handover.md, docs/phase-11-tail-2-handover.md, docs/phase-11-tail-3-handover.md, docs/phase-11-tail-handover.md, docs/phase-2-handover.md, docs/phase-3-handover.md, docs/phase-4-handover.md, docs/phase-5-handover.md, docs/phase-6-handover.md, docs/phase-7-handover.md, docs/phase-8-handover.md, docs/phase-9-handover.md, docs/post-overhaul-follow-up.md, docs/reader-rank-hardening-handoff.md, docs/strangler-fig-migration-plan.md, docs/v1-reader-resource-hardening-handoff.md, docs/verification.md, tests/test_io_malformed_shapes.cpp"
"eedf5ada7246b50e4ba12859c956d2046836f9c3"	"2026-08-20"	"docs: align current contracts and archive tuning notes"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"docs/adr/0001-mixed-float-double-accumulation.md, docs/adr/0002-force-split.md, docs/adr/0003-cuda-graphs.md, docs/adr/0004-axisymmetric-production-wiring.md, docs/architecture.md, docs/cuda-overhaul-blueprint.md, docs/data-layout.md, docs/optimization-2026-08-03.md, docs/overhaul-history.md, docs/performance.md, docs/profiling-2026-08-05.md, docs/verification.md"
"4f9d94cd322006a0c86c6526153c120025a6c1e8"	"2026-08-20"	"docs: drop vmecpp bit-exactness framing from living docs"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"CLAUDE.md, README.md, docs/architecture.md"
"dceeaa82ac97c85195138fca9dba7d4c84b5ab9d"	"2026-08-20"	"docs: refresh README to match post-overhaul codebase"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"README.md"
"8f8b2394804549cf80f97bfe99dfe60b2c29c695"	"2026-08-20"	"docs: finish README bit-exactness framing cleanup"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"README.md"
"b24b3d0cae4413ca07efcafee4bd3be8907f9599"	"2026-08-20"	"fix(io): align the binary v1 trailer with the v2 reader"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"configs/schema-v1.json, src/cumes/io/versioned_binary.cpp, tests/test_io_golden.cu"
"69b435f1c208daa2b5bd1bc071458f08629ae10f"	"2026-08-20"	"docs: document the on-disk output formats"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"docs/output-formats.md"
"34e62d7cf161e11777f9e249072b14df640fada8"	"2026-08-20"	"scripts: add the W7-X equilibrium 3D plotting script"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"scripts/plot_w7x.py"
"4f6640bb8036a0bbe194cae711a63b4dd6321abf"	"2026-08-20"	"scripts: compact the W7-X figure layout"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"scripts/plot_w7x.py"
"e1f059c06914ce35edb5bd8cf09e92042b750756"	"2026-08-20"	"scripts: combined view, centered titles, tighter figure layout"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"scripts/plot_w7x.py"
"d0aafd4917126eb6f53ae8831757a3631dcc3656"	"2026-08-20"	"scripts: slices figure, balanced block centering, NetCDF/HDF5 state input"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"scripts/plot_w7x.py"
"783e46ae0ea74fde689dde6687fdb1b2faa5b0d0"	"2026-08-20"	"scripts: recompose the combined figure panels with a fixed gap"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"scripts/plot_w7x.py"
"6a41fea6bc5097eac8730c27209fc0a53460ee6c"	"2026-08-20"	"io: remove the legacy-v0 output backend, --restart-legacy, and the 8-stage cap"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"CMakeLists.txt, include/cumes/config/validated_problem.hpp, include/cumes/io/checkpoint.hpp, include/cumes/io/legacy_provenance.hpp, src/cumes/config/validated_problem.cpp, src/cumes/io/checkpoint.cpp, src/cumes/io/hdf5_writer.cpp, src/cumes/io/internal_factories.hpp, src/cumes/io/legacy_binary_v0.cpp, src/cumes/io/netcdf_writer.cpp, src/cumes/io/versioned_binary.cpp, src/cumes/io/writer_dispatch.cpp, src/main.cu, tests/cli_policy_test.sh, tests/test_checkpoint.cpp, tests/test_host_config.cpp, tests/test_host_io.cpp, tests/test_io_golden.cu, tests/test_output_failure.cu"
"d1db6a93dad7fe9ef42f39034303c76e094cb81b"	"2026-08-20"	"io: single output schema — drop OutputSchema, LegacyRunScalars, output-side compat"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"cmake/CumesOptions.cmake, include/cumes/io/output_spec.hpp, include/cumes/io/reader.hpp, include/cumes/io/writer.hpp, include/cumes/io/writer_helpers.hpp, include/output.cuh, src/cumes/io/hdf5_writer.cpp, src/cumes/io/netcdf_writer.cpp, src/cumes/io/output_spec.cpp, src/cumes/io/versioned_binary.cpp, src/cumes/io/writer_dispatch.cpp, src/main.cu, src/output.cpp, tests/test_host_io.cpp, tests/test_io_golden.cu, tests/test_io_malformed_shapes.cpp, tests/test_io_restart_offsets.cpp, tests/test_output_failure.cu"
"ea8aa769279dd84b4a0d6fac07d6b88813519b1a"	"2026-08-20"	"scripts: read the schema-v1 state container, drop the legacy-v0 payload"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"perf_base/solovev/cumes_state.bin, perf_base/solovev/solovev.log, perf_base/w7x/cumes_state.bin, perf_base/w7x/w7x.log, scripts/capture_baseline.sh, scripts/ci_gpu.sh, scripts/compare_bitwise.py, scripts/compare_runs.py, scripts/compare_states.py, scripts/plot_w7x.py"
"aa2a176d09cdc8561871e26db88ace1025080bb7"	"2026-08-20"	"docs: single output scheme — update living docs, contracts, and comments"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"CLAUDE.md, README.md, configs/schema-v1.json, docs/architecture.md, docs/data-layout.md, docs/mathematics.md, docs/output-formats.md, docs/verification.md, include/cumes/io/snapshot_bridge.cuh, include/cumes/state/seed_state.hpp, include/vmec_types.h, src/cumes/io/io_common.hpp"
"531076906f491e491f38b5462eb98a2c75794c49"	"2026-08-21"	"scripts: FFT eval, single-surface 3D, parallel per-figure rendering"	"tooling"	"Batched IFFT and process-parallel figure rendering; 42 to 17 s recorded"	"scripts/plot_w7x.py"
"52adcef38d81345ce71c4d5730c204ee3586a018"	"2026-08-21"	"docs: condense CLAUDE.md into a summary guide, delegate details to docs/"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"CLAUDE.md, docs/architecture.md, docs/mathematics.md"
"2dea659453d2d1fff5ed6fc6d196a80e5cd634d8"	"2026-08-21"	"io: compile restart/convergence event lines out of release builds"	"execution"	"Compile verification event messages out of non-dump builds; no isolated timing"	"src/solver_impl.cuh"
"8974548fba3916cdb5a6e8a17150cb1c70aba348"	"2026-08-21"	"build: move test target definitions into tests/CMakeLists.txt"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"CMakeLists.txt, cmake/CumesDependencies.cmake, cmake/CumesSanitizers.cmake, cmake/CumesTest.cmake, tests/CMakeLists.txt"
"0fa42e6563b7246243742d2ae96d6ed014580c37"	"2026-08-21"	"tests: extract shared harness into tests/include (check/max_diff/summary)"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"CMakeLists.txt, tests/CMakeLists.txt, tests/include/cumes_test.h, tests/include/cumes_test_cuda_helper.cuh, tests/support/cumes_test_support.cuh, tests/test_accumulation.cu, tests/test_arena.cu, tests/test_axisym_backend.cu, tests/test_checkpoint.cpp, tests/test_constraint_tcon.cu, tests/test_controller.cpp, tests/test_cuda_graph.cu, tests/test_event_dag.cu, tests/test_force_reference.cu, tests/test_force_verify.cu, tests/test_forces.cu, tests/test_fourier.cu, tests/test_geometry_iso.cu, tests/test_geometry_ncurr.cu, tests/test_host_config.cpp, tests/test_host_io.cpp, tests/test_input_json.cu, tests/test_io_golden.cu, tests/test_io_malformed_shapes.cpp, tests/test_io_restart_offsets.cpp, tests/test_operator_views.cu, tests/test_output_failure.cu, tests/test_regression_kernels.cu, tests/test_runtime.cu, tests/test_safety_predicates.cu, tests/test_tridiagonal.cu"
"ae2c94f21aad6478e0c9016d1aaa58febfb7a144"	"2026-08-21"	"build: adopt strict C++20 for host and CUDA code, retire the C++17 pin"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"CLAUDE.md, CMakeLists.txt, docs/overhaul-history.md, include/cumes/state/mode_table.cuh, tests/CMakeLists.txt, tests/include/cumes_test.h"
"5d77e865b34d937471f22a2b1a22e5dfd5c1d405"	"2026-08-21"	"tests: replace all C-style output with std::cout/std::cerr and cumes::test::format"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"tests/include/cumes_test.h, tests/include/cumes_test_cuda_helper.cuh, tests/include/cumes_test_format.h, tests/test_accumulation.cu, tests/test_arena.cu, tests/test_axisym_backend.cu, tests/test_constraint_tcon.cu, tests/test_controller.cpp, tests/test_cuda_graph.cu, tests/test_event_dag.cu, tests/test_force_reference.cu, tests/test_force_verify.cu, tests/test_forces.cu, tests/test_fourier.cu, tests/test_geometry_iso.cu, tests/test_geometry_ncurr.cu, tests/test_host_config.cpp, tests/test_host_io.cpp, tests/test_input_json.cu, tests/test_io_golden.cu, tests/test_io_malformed_shapes.cpp, tests/test_io_restart_offsets.cpp, tests/test_operator_views.cu, tests/test_output_failure.cu, tests/test_regression_kernels.cu, tests/test_runtime.cu, tests/test_safety_predicates.cu, tests/test_tridiagonal.cu"
"ed1d68aa206a512978740f8517ff98ccb87f9266"	"2026-08-22"	"tests: fix nobackend/netcdf-only builds broken by the output conversion"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"tests/test_io_malformed_shapes.cpp, tests/test_io_restart_offsets.cpp"
"fd0ecce6ed464f939822cf440d0f6088689c1fb3"	"2026-08-22"	"io: embed the normalized-input record in every output container"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"include/cumes/io/checkpoint.hpp, include/cumes/io/input_params.hpp, include/cumes/io/run_report.hpp, src/cumes/io/checkpoint.cpp, src/cumes/io/hdf5_writer.cpp, src/cumes/io/io_common.hpp, src/cumes/io/netcdf_writer.cpp, src/cumes/io/versioned_binary.cpp, src/main.cu, tests/test_checkpoint.cpp, tests/test_io_golden.cu, tests/test_output_failure.cu"
"259d8eae25aa42b2feee916f472071c9e67d49e6"	"2026-08-22"	"scripts: plot any equilibrium input-free from the embedded input record"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"scripts/compare_bitwise.py, scripts/compare_runs.py, scripts/compare_states.py, scripts/plot_w7x.py"
"067650b711b441a416a76b2aad115c258612144e"	"2026-08-22"	"docs: document the embedded normalized-input record in every container"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"CLAUDE.md, configs/schema-v1.json, docs/output-formats.md, docs/verification.md"
"30f6ac5049e61e88841c66819f7efd13199a9955"	"2026-08-22"	"style: add .clang-format and reformat the tree"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	".clang-format, benchmarks/bench_common.cuh, benchmarks/fixed_iteration.cu, benchmarks/graph_overhead.cu, benchmarks/graph_realpass.cu, include/JsonParser.h, include/cumes/config/device_params.hpp, include/cumes/config/precision_policy.hpp, include/cumes/config/problem_spec.hpp, include/cumes/config/profile_functions.hpp, include/cumes/config/validated_problem.hpp, include/cumes/config/validation_report.hpp, include/cumes/core/mode_table.hpp, include/cumes/core/result.hpp, include/cumes/core/tensor_view.cuh, include/cumes/io/checkpoint.hpp, include/cumes/io/input_params.hpp, include/cumes/io/reader.hpp, include/cumes/io/run_report.hpp, include/cumes/io/snapshot_bridge.cuh, include/cumes/io/writer.hpp, include/cumes/io/writer_helpers.hpp, include/cumes/numerics/accumulation.hpp, include/cumes/numerics/descent_operator.hpp, include/cumes/numerics/device_predicates.cuh, include/cumes/numerics/preconditioner.hpp, include/cumes/numerics/prolongation.hpp, include/cumes/numerics/residual_operator.hpp, include/cumes/numerics/tridiagonal_backend.hpp, include/cumes/physics/constraint_operator.hpp, include/cumes/physics/force_operator.hpp, include/cumes/physics/geometry_operator.hpp, include/cumes/physics/magnetic_field_operator.hpp, include/cumes/physics/profiles.hpp, include/cumes/runtime/cuda_graph.hpp, include/cumes/runtime/cuda_status.hpp, include/cumes/runtime/device_arena.cuh, include/cumes/runtime/device_buffer.cuh, include/cumes/runtime/pinned_buffer.hpp, include/cumes/runtime/stream.hpp, include/cumes/solver/control_record.hpp, include/cumes/solver/equilibrium_operator.hpp, include/cumes/solver/iteration_controller.hpp, include/cumes/solver/multigrid_solver.hpp, include/cumes/solver/pass_record.hpp, include/cumes/solver/solver_bench.hpp, include/cumes/solver/stage_solver.hpp, include/cumes/state/mode_table.cuh, include/cumes/state/real_fields.cuh, include/cumes/state/real_space_storage.hpp, include/cumes/state/seed_state.hpp, include/cumes/state/spectral_storage.hpp, include/cumes/transforms/axisymmetric_operator.hpp, include/cumes/transforms/spectral_operator.hpp, include/cumes/transforms/toroidal_fft_operator.hpp, include/fft_traits.h, include/output.cuh, include/solver.cuh, src/axisymmetric_impl.cuh, src/constraint_impl.cuh, src/cumes/config/json_reader.cpp, src/cumes/config/validated_problem.cpp, src/cumes/config/validation_report.cpp, src/cumes/core/grid_shape.cpp, src/cumes/io/checkpoint.cpp, src/cumes/io/hdf5_writer.cpp, src/cumes/io/io_common.hpp, src/cumes/io/netcdf_writer.cpp, src/cumes/io/output_spec.cpp, src/cumes/io/versioned_binary.cpp, src/cumes/io/writer_dispatch.cpp, src/forces_impl.cuh, src/fourier_double.cu, src/fourier_float.cu, src/fourier_impl.cuh, src/geometry_impl.cuh, src/main.cu, src/output.cpp, src/precon_impl.cuh, src/profiles_impl.cuh, src/prolongation_impl.cuh, src/solver_double.cu, src/solver_float.cu, src/solver_impl.cuh, tests/include/cumes_test_cuda_helper.cuh, tests/include/cumes_test_format.h, tests/test_accumulation.cu, tests/test_arena.cu, tests/test_axisym_backend.cu, tests/test_checkpoint.cpp, tests/test_constraint_tcon.cu, tests/test_controller.cpp, tests/test_cuda_graph.cu, tests/test_event_dag.cu, tests/test_force_reference.cu, tests/test_force_verify.cu, tests/test_forces.cu, tests/test_fourier.cu, tests/test_geometry_iso.cu, tests/test_geometry_ncurr.cu, tests/test_host_config.cpp, tests/test_host_io.cpp, tests/test_input_json.cu, tests/test_io_golden.cu, tests/test_io_malformed_shapes.cpp, tests/test_io_restart_offsets.cpp, tests/test_operator_views.cu, tests/test_output_failure.cu, tests/test_regression_kernels.cu, tests/test_runtime.cu, tests/test_safety_predicates.cu, tests/test_tridiagonal.cu"
"a6fe3ddd4a112ce63c16815a79b5984d9f6be7f2"	"2026-08-23"	"style: rename main executable"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"CLAUDE.md, CMakeLists.txt, README.md, docs/output-formats.md, docs/verification.md, scripts/capture_baseline.sh, scripts/ci_gpu.sh"
"c104aa7c98b89cb2f3d89d8d28b4414f67165a00"	"2026-08-23"	"style: drop overhaul-process references from CMake comments"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"CMakeLists.txt, cmake/CumesOptions.cmake, cmake/CumesSanitizers.cmake, tests/CMakeLists.txt"
"b5f3c41943bf2fdbab10269becd70d3da4c1a4a6"	"2026-08-23"	"style: replace #pragma once with #ifndef include guards"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"benchmarks/bench_common.cuh, include/cumes/config/device_params.hpp, include/cumes/config/json_reader.hpp, include/cumes/config/precision_policy.hpp, include/cumes/config/problem_spec.hpp, include/cumes/config/profile_functions.hpp, include/cumes/config/solver_options.hpp, include/cumes/config/validated_problem.hpp, include/cumes/config/validation_report.hpp, include/cumes/core/checked_size.hpp, include/cumes/core/grid_shape.hpp, include/cumes/core/mode_table.hpp, include/cumes/core/result.hpp, include/cumes/core/scalar.hpp, include/cumes/core/tensor_view.cuh, include/cumes/io/checkpoint.hpp, include/cumes/io/equilibrium_snapshot.hpp, include/cumes/io/input_params.hpp, include/cumes/io/output_spec.hpp, include/cumes/io/reader.hpp, include/cumes/io/run_report.hpp, include/cumes/io/snapshot_bridge.cuh, include/cumes/io/writer.hpp, include/cumes/io/writer_helpers.hpp, include/cumes/numerics/accumulation.hpp, include/cumes/numerics/descent_operator.hpp, include/cumes/numerics/device_predicates.cuh, include/cumes/numerics/preconditioner.hpp, include/cumes/numerics/prolongation.hpp, include/cumes/numerics/residual_operator.hpp, include/cumes/numerics/tridiagonal_backend.hpp, include/cumes/physics/constraint_operator.hpp, include/cumes/physics/force_operator.hpp, include/cumes/physics/geometry_operator.hpp, include/cumes/physics/magnetic_field_operator.hpp, include/cumes/physics/profiles.hpp, include/cumes/runtime/cuda_graph.hpp, include/cumes/runtime/cuda_status.hpp, include/cumes/runtime/device_arena.cuh, include/cumes/runtime/device_buffer.cuh, include/cumes/runtime/pinned_buffer.hpp, include/cumes/runtime/stream.hpp, include/cumes/solver/control_record.hpp, include/cumes/solver/equilibrium_operator.hpp, include/cumes/solver/iteration_controller.hpp, include/cumes/solver/multigrid_solver.hpp, include/cumes/solver/pass_record.hpp, include/cumes/solver/solver_bench.hpp, include/cumes/solver/stage_solver.hpp, include/cumes/state/mode_table.cuh, include/cumes/state/real_fields.cuh, include/cumes/state/real_space_storage.hpp, include/cumes/state/seed_state.hpp, include/cumes/state/spectral_storage.hpp, include/cumes/transforms/axisymmetric_operator.hpp, include/cumes/transforms/spectral_operator.hpp, include/cumes/transforms/toroidal_fft_operator.hpp, include/fft_traits.h, include/output.cuh, include/solver.cuh, include/vmec_types.h, src/axisymmetric_impl.cuh, src/constraint_impl.cuh, src/cumes/io/internal_factories.hpp, src/cumes/io/io_common.hpp, src/forces_impl.cuh, src/fourier_impl.cuh, src/geometry_impl.cuh, src/precon_impl.cuh, src/profiles_impl.cuh, src/prolongation_impl.cuh, src/solver_impl.cuh, tests/include/cumes_test.h, tests/include/cumes_test_cuda_helper.cuh, tests/include/cumes_test_format.h"
"0132bb00e5989d99b2c7766f82fcc0c9afd168bc"	"2026-08-23"	"feat(profiles): support the vmecpp two_power profile parameterization"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"docs/mathematics.md, include/cumes/config/problem_spec.hpp, include/cumes/config/profile_functions.hpp, src/cumes/config/json_reader.cpp, src/cumes/config/validated_problem.cpp, tests/test_host_config.cpp, tests/test_input_json.cu"
"f27f802f42f6cc0a8e1b990666aed6161dc9a124"	"2026-08-23"	"io: embed the profile parameterizations in the normalized-input record"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"configs/schema-v1.json, docs/output-formats.md, docs/verification.md, include/cumes/config/problem_spec.hpp, include/cumes/io/input_params.hpp, scripts/compare_bitwise.py, scripts/compare_states.py, scripts/compare_wout.py, src/cumes/config/validated_problem.cpp, src/cumes/io/checkpoint.cpp, src/cumes/io/hdf5_writer.cpp, src/cumes/io/io_common.hpp, src/cumes/io/netcdf_writer.cpp, src/cumes/io/versioned_binary.cpp, tests/fixtures/solovev.normalized.json, tests/fixtures/w7x.normalized.json, tests/test_checkpoint.cpp, tests/test_io_golden.cu, tests/test_output_failure.cu"
"cbdaad009889b58b2cd2d777293391784ca00195"	"2026-08-24"	"refactor: move kernel-body impl headers into src/kernels/"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"CLAUDE.md, README.md, benchmarks/graph_realpass.cu, docs/architecture.md, docs/output-formats.md, include/cumes/config/profile_functions.hpp, include/cumes/numerics/device_predicates.cuh, include/cumes/numerics/prolongation.hpp, include/cumes/physics/geometry_operator.hpp, include/cumes/solver/iteration_controller.hpp, include/cumes/state/real_fields.cuh, include/cumes/state/real_space_storage.hpp, scripts/plot_w7x.py, src/axisymmetric_double.cu, src/axisymmetric_float.cu, src/axisymmetric_impl.cuh, src/constraint_double.cu, src/constraint_float.cu, src/constraint_impl.cuh, src/forces_double.cu, src/forces_float.cu, src/forces_impl.cuh, src/fourier_double.cu, src/fourier_float.cu, src/fourier_impl.cuh, src/geometry_double.cu, src/geometry_float.cu, src/geometry_impl.cuh, src/kernels/axisymmetric_impl.cuh, src/kernels/constraint_impl.cuh, src/kernels/forces_impl.cuh, src/kernels/fourier_impl.cuh, src/kernels/geometry_impl.cuh, src/kernels/precon_impl.cuh, src/kernels/profiles_impl.cuh, src/kernels/prolongation_impl.cuh, src/kernels/solver_impl.cuh, src/precon_double.cu, src/precon_float.cu, src/precon_impl.cuh, src/profiles_double.cu, src/profiles_float.cu, src/profiles_impl.cuh, src/prolongation_double.cu, src/prolongation_float.cu, src/prolongation_impl.cuh, src/solver_double.cu, src/solver_float.cu, src/solver_impl.cuh, tests/test_force_reference.cu, tests/test_force_verify.cu, tests/test_tridiagonal.cu"
"64e2b5db6e0289cdfb3eae675a13e5e0969d0b56"	"2026-08-24"	"style: add val_type aliases to templated types"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"benchmarks/bench_common.cuh, include/cumes/config/device_params.hpp, include/cumes/core/mode_table.hpp, include/cumes/core/result.hpp, include/cumes/core/tensor_view.cuh, include/cumes/numerics/descent_operator.hpp, include/cumes/numerics/preconditioner.hpp, include/cumes/numerics/prolongation.hpp, include/cumes/numerics/residual_operator.hpp, include/cumes/numerics/tridiagonal_backend.hpp, include/cumes/physics/constraint_operator.hpp, include/cumes/physics/force_operator.hpp, include/cumes/physics/geometry_operator.hpp, include/cumes/physics/magnetic_field_operator.hpp, include/cumes/physics/profiles.hpp, include/cumes/runtime/device_buffer.cuh, include/cumes/runtime/pinned_buffer.hpp, include/cumes/solver/control_record.hpp, include/cumes/solver/equilibrium_operator.hpp, include/cumes/solver/iteration_controller.hpp, include/cumes/solver/multigrid_solver.hpp, include/cumes/solver/stage_solver.hpp, include/cumes/state/real_fields.cuh, include/cumes/state/real_space_storage.hpp, include/cumes/state/spectral_storage.hpp, include/cumes/transforms/axisymmetric_operator.hpp, include/cumes/transforms/spectral_operator.hpp, include/cumes/transforms/toroidal_fft_operator.hpp, include/fft_traits.h, include/solver.cuh, tests/test_axisym_backend.cu, tests/test_output_failure.cu"
